Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q9LMA1,452,393,969,472,596,88,67
Q9LMI0,65,58,187,70,100,28,25
Q9LMR3,162,81,226,134,151,35,17
Q9LMT1,313,210,548,485,326,120,53
Q9LMT2,318,336,739,294,371,95,33
Q9LN20,15,13,13,32,15,2,4
Q9LN71,11,5,8,6,13,2,0
Q9LNB6,108,40,125,66,91,7,11
Q9LND7,26,29,77,12,46,1,0
Q9LNV5,296,286,428,301,349,72,35
Q9LP24,46,19,32,11,42,10,0
Q9LP45,261,131,403,188,308,37,74
Q9LPC5,116,106,226,106,132,35,0
Q9LPV5,9170,8536,26065,10425,3780,880,554
Q9LPX2,110,60,120,44,41,9,0
Q9LQ02,31,5,4,20,6,9,2
Q9LQ04,42,29,31,19,63,15,4
Q9LQ14,861,831,1350,833,542,230,112
Q9LQ15,0,0,0,0,3,0,0
Q9LQ16,34,45,52,71,78,7,0
Q9LQK0,3,22,3,0,2,2,0
Q9LQK7,25,51,47,24,44,2,2
Q9LQQ9,29,24,53,5,24,2,3
Q9LQX2,15,8,42,0,5,2,0
Q9LR64,95,103,467,71,178,38,5
Q9LR75,305,142,754,232,289,34,58
Q9LR78,320,303,652,293,308,50,46
Q9LRA7,170,148,352,141,181,60,14
Q9LRE6,218,138,389,123,154,28,7
Q9LRT1,9,1,11,0,0,0,0
Q9LS25,0,0,0,0,0,0,0
Q9LSE4,31,46,254,3,99,3,2
Q9LSL9,82,81,72,32,92,23,16
Q9LSM5,129,112,129,56,182,24,15
Q9LSQ2,18,6,48,8,28,10,0
Q9LSQ5,252,289,1206,206,292,17,31
Q9LSU0,80,29,130,64,46,12,17
Q9LSV0,44,18,46,28,67,14,8
Q9LSW8,108,118,230,175,150,15,16
Q9LSX4,23,59,112,21,50,9,16
Q9LT02,164,153,312,94,240,47,21
Q9LT17,1,31,18,7,17,7,0
Q9LT25,88,59,102,55,102,20,6
Q9LT31,32,55,57,47,63,12,20
Q9LT35,30,18,42,28,20,0,0
Q9LT68,791,430,3021,642,757,107,61
Q9LT78,331,255,850,397,330,45,34
Q9LTD8,71,115,207,75,134,18,4
