Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q1AW08,0,0,0,0,2,0,0
Q1CHD4,0,0,0,0,2,22,0
Q1DI23,0,0,5,0,15,0,8
Q1EA11,212,663,270,340,292,260,13
Q1ECZ4,276,343,241,256,147,298,81
Q1ED39,1287,705,584,1164,306,732,118
Q1EG27,5,13,0,10,2,0,0
Q1HFZ0,596,869,469,798,594,831,264
Q1HPK6,0,0,0,0,0,0,0
Q1HPS0,0,0,0,133,0,0,0
Q1HPW4,0,0,0,0,1,0,0
Q1JPX3,1693,1813,1360,2112,1776,1642,410
Q1JQ66,107,277,188,203,225,171,61
Q1JQ99,92,228,230,165,109,194,40
Q1JQA3,773,865,622,854,869,852,361
Q1JQC1,1645,1795,936,1319,1363,1457,344
Q1JQC6,635,381,149,585,234,288,96
Q1JQD4,0,0,0,0,1,0,0
Q1JRP2,0,0,0,0,0,31,0
Q1KL12,57,206,93,138,138,139,95
Q1KVS1,0,0,0,0,0,4,0
Q1KZG4,177,265,148,258,219,218,116
Q1L8G7,960,803,553,980,767,1009,1049
Q1L8I0,71,40,39,76,78,46,6
Q1L8J7,6030,14239,5049,10421,5326,9535,5852
Q1L8L9,917,1177,524,685,791,1024,345
Q1L987,225,289,210,265,302,317,128
Q1LU86,221,275,38,170,299,253,43
Q1LUA6,21,3,7,0,1,7,0
Q1LUI2,31,64,53,103,29,45,10
Q1LUQ4,432,1075,603,1090,592,565,289
Q1LV46,293,496,251,387,296,398,232
Q1LVE8,0,0,5,0,0,4,0
Q1LXK4,1064,1458,850,1504,1121,972,438
Q1LY80,0,4,7,0,4,9,20
Q1LYG0,734,1518,1137,1866,976,1072,729
Q1LZ53,742,1334,659,1066,733,775,342
Q1LZ71,4300,5071,2768,5607,3544,5113,7369
Q1LZ74,156,329,165,214,264,310,89
Q1LZA0,689,618,459,453,715,778,36
Q1LZA4,602,877,938,553,394,483,261
Q1LZD0,127,320,97,82,143,148,10
Q1LZE9,111,511,217,260,172,311,364
Q1LZF2,5778,810,831,7039,4605,848,455
Q1LZH1,261,788,564,229,531,388,10
Q1LZI1,0,5,0,0,1,3,27
Q1M8E0,3,0,0,0,0,7,0
Q1MSJ5,44,67,49,160,15,14,0
Q1MTN8,327,528,282,248,407,466,115
Q1MTR3,0,0,0,0,0,0,0
Q1PF50,0,0,0,0,1,0,0
Q1RLQ5,12,14,0,3,6,6,0
Q1RLX4,4,0,2,1,3,1,6
Q1RMP0,75,127,75,116,76,87,13
Q1RMP7,498,1166,358,846,894,773,424
Q1RMR0,230,451,188,579,245,326,119
Q1RMW1,1401,1231,840,1093,639,903,256
Q1T7B7,56,99,23,45,47,59,21
Q1WG82,909,1801,582,1766,959,2545,292
Q1WIQ6,0,0,0,0,0,20,0
Q1XA76,18,15,9,0,5,1,9
Q1XD97,0,0,19,24,2,2,0
Q1XDP2,0,0,0,0,0,0,0
Q20176,290,498,256,320,364,478,129
Q20191,2462,4189,2068,2547,3153,3772,3436
Q20681,621,664,257,957,550,382,206
Q20751,0,0,0,0,5,0,0
Q20EU6,0,0,0,19,0,40,0
Q21049,1854,3297,1359,2363,1607,2004,815
Q21059,6,4,5,0,8,10,0
Q21086,309,220,74,87,264,239,86
Q21109,6,0,39,0,1,11,18
Q21221,0,0,0,0,0,17,0
Q21268,25,29,197,19,41,3,7
Q21305,2735,4024,2318,3170,2834,3489,2289
Q21565,135,160,72,160,66,73,148
Q21642,503,820,505,1253,519,456,239
Q21743,1166,1226,1867,1364,1970,1236,890
Q21974,44,142,14,19,67,105,4
Q22038,7,4,0,11,7,2,75
Q22054,0,0,0,0,1,0,0
Q22431,0,0,0,0,0,1,0
Q22460,150,267,133,193,206,198,72
Q22866,6431,11063,8375,8590,7886,9837,3636
Q229Z6,0,0,0,0,4,0,0
Q22AX5,0,0,0,0,0,0,0
Q231U7,0,0,0,0,0,0,0
Q23680,1059,1215,622,1039,1116,1084,1249
Q23716,13,0,0,16,3,2,12
Q23808,257,266,724,224,360,48,5
Q23858,0,0,0,0,0,0,0
Q23894,0,0,0,0,0,1,0
Q23915,9,20,7,27,0,23,2
Q24119,270,301,96,181,225,283,342
Q24133,27,17,10,57,16,42,305
Q24155,10,24,13,25,33,30,44
Q24180,3322,1559,1185,1847,3340,3684,5026
Q24292,0,0,0,1,2,0,0
Q24372,3,9,5,3,8,14,2
Q24407,0,0,0,12,0,0,0
Q24439,1290,1823,1377,1439,1666,1786,1023
Q24488,106,613,210,255,152,243,349
Q24563,4,35,3,18,6,4,0
Q24747,373,611,316,407,424,389,262
Q24799,4045,9743,9936,6342,3464,3827,97
Q24F59,335,139,393,264,261,33,31
Q24JN5,0,0,0,0,0,3,0
Q24JV9,65,6,949,126,233,313,1578
Q24K03,262,400,210,265,384,333,21
