Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q6AYJ3,0,0,7,0,0,2,7,22,0,0
Q6AYK6,425,62,152,40,38,394,121,259,22,28
Q6AYP4,459,301,198,175,350,437,632,439,200,380
Q6AYQ1,0,0,0,0,0,0,0,0,0,0
Q6AYS5,291,179,292,47,104,471,234,210,62,149
Q6AYS7,73,50,46,34,59,105,32,108,0,38
Q6AYT3,20,0,0,0,0,2,0,0,0,0
Q6AYU1,220,88,157,88,67,295,217,257,87,320
Q6AYY8,148,61,125,26,21,273,112,307,27,55
Q6AZ28,1055,389,501,417,495,2381,796,885,392,964
Q6AZA0,533,117,201,132,90,1168,259,554,82,218
Q6AZB0,138,95,373,13,19,468,292,424,28,0
Q6AZB8,26,127,127,3,0,16,150,94,0,5
Q6AZG8,624,537,1579,263,514,801,998,2044,162,731
Q6AZN8,358,136,276,121,32,894,264,551,49,116
Q6AZT7,13,407,215,15,1,18,168,65,3,3
Q6AZV0,437,573,379,88,110,680,829,490,218,95
Q6B855,2831,1992,2429,752,1319,4409,2920,3174,710,2276
Q6B858,2,0,3,0,0,0,0,0,0,0
Q6B8I0,1,98,77,0,0,0,68,40,0,0
Q6B9X6,788,720,1060,206,409,514,957,942,47,369
Q6BEB4,802,121,627,256,128,68,102,36,38,171
Q6BH22,0,0,0,1,0,0,0,0,0,0
Q6BIV4,2,546,606,0,0,0,560,407,0,0
Q6BJ48,2,0,0,0,0,0,0,0,0,0
Q6BP23,0,36,27,0,0,0,46,25,0,0
Q6BPF6,16,1632,1541,9,1,1,2240,1049,28,7
Q6BYG4,0,164,156,0,0,0,121,81,0,0
Q6BZW3,86,60,105,34,55,232,153,195,128,70
Q6C3J2,0,444,483,0,2,0,532,355,0,0
Q6C603,0,0,0,0,0,0,0,98,0,0
Q6C7A6,148,39,45,60,122,136,77,108,0,120
Q6C9E7,0,8,6,0,0,0,15,9,0,0
Q6CAU9,0,61,54,0,0,0,47,43,0,0
Q6CF60,0,114,115,0,0,0,124,107,0,0
Q6CFD2,0,0,0,0,0,0,0,0,0,0
Q6CFQ0,0,0,2,6,38,1,0,0,31,0
Q6CGG3,171,186,128,86,194,173,192,199,32,216
Q6CJL0,24,20,8,13,7,16,5,9,0,0
Q6CLN9,371,384,531,181,291,637,479,368,93,364
Q6CP93,1,283,317,0,0,0,257,206,0,0
Q6CQB5,4,346,379,0,0,0,330,188,0,1
Q6CWD7,11,491,641,0,0,0,471,430,0,1
Q6DBG8,0,7,11,0,0,0,5,8,0,0
Q6DBQ8,231,158,276,70,66,388,211,214,51,174
Q6DBY9,88,13,51,43,17,175,18,7,0,59
Q6DC37,84,9,169,20,28,46,22,62,22,12
Q6DC39,0,186,237,0,1,0,147,135,0,0
Q6DC58,23,63,72,10,33,35,46,123,0,6
Q6DC66,30,69,61,10,38,23,19,16,0,17
Q6DC77,182,57,165,78,74,294,111,103,33,213
Q6DCC6,187,110,132,89,50,179,101,158,14,98
Q6DCE3,305,490,493,129,132,347,482,435,0,145
Q6DCE8,271,53,266,41,14,73,67,110,9,9
